source_identifier,model,remote_files,parents,has_work_type,local_identifier,ark,acquisition_identifier,oclc,issn,isbn,title,alternative_title,abstract,table_of_contents,utk_creator,date_created,date_issued,date_other,date_created_d,date_issued_d,date_other_d,publisher,utk_publisher,publication_place,utk_place_of_publication,note,extent,instrumentation,first_line,intended_audience,rights_statement,spatial_local,spatial,coordinates,temporal,call_number,bibliographic_citation,provider,intermediate_provider,repository,archival_collection,subject,keyword,form,resource_type,form_local,language,sheetmusic_hostitem,is_part_of,photographer,utk_photographer,creator,contributor,utk_contributor
tenncities:163,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000263 | 0064 | tenncities:163 | record_spc_3919,,,,,,Knoxville's Girls' High School,,"Knoxville's Girls' High School was established at the East Tennessee Female Institute in 1886. The building pictured became home to the school when the Institute was razed in 1889. When Knoxville High School opened in 1910, the Girls' High School became Boyd Junior High.",,,1889-1910,,,1889/1910,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85060735 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:306,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000406 | 0207 | tenncities:306 | record_spc_4062,,,,,,Swimmers at unidentified lake,,"View of a group of unidentified people at a lake. Although the location is not specified, it is likely Lake Ottosee located in Chilhowee Park near Knoxville.",,,1900-1930,,,1900/1930,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85131207 | http://id.loc.gov/authorities/subjects/sh00007640,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:318,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000418 | 0219 | tenncities:318 | record_spc_4074,,,,,,American Limestone Company Mine,,View of American Limestone Company workers. American Limestone Company was established in 1913 to process some of the rock generated by the zinc mines near Knoxville.,,,1913-1971,1978,,1913/1971,,,,Donning Company Publishers,,"253 West Bute Street, Norfolk, VA 23510",,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85077019 | http://id.loc.gov/authorities/subjects/sh00007640,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,http://id.loc.gov/authorities/names/n78030817,,,,
tenncities:313,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000413 | 0214 | tenncities:313 | record_spc_4069,,,,,,Stereoview of Lumber Wagon,,Stereoview of an unidentified lumber wagon in the Knoxville area.,,,1880-1900,,,1880/1900,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85078814 | http://id.loc.gov/authorities/subjects/sh00007640,,http://vocab.getty.edu/aat/300127197 | http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:139,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000239 | 0040 | tenncities:139 | record_spc_3895,,,,,,Samuel Cowan Estate,,View of the Samuel Cowan Estate on Kingston Pike.,,,1880,,,1880,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh86003042 | http://id.loc.gov/authorities/subjects/sh85040261 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:534,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000634 | 0435 | tenncities:534 | record_spc_4290,,,,,,Parade on Gay Street (500 Block),,Parade on Gay Street in downtown Knoxville. Visible are Park National Bank and Hamilton National Bank.,,,1954-1968,,,1954/1968,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85097741 | http://id.loc.gov/authorities/subjects/sh2009118693 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,http://id.loc.gov/authorities/names/no2018123876,,,,
tenncities:506,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000606 | 0407 | tenncities:506 | record_spc_4262,,,,,,Gay Street,,View on Gay Street in downtown Knoxville.,,,1880-1910,,,1880/1910,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85128662 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:588,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000688 | 0489 | tenncities:588 | record_spc_4344,,,,,,Candy Factory,,"View of the exterior of the Candy Factory at the World's Fair. The Knoxville International Energy Exposition (better known as the World's Fair) was held in Knoxville from May to October 1982 on a 67-acre area just west of the city's center. 19 nations in addition to the United States participated in the exposition which drew over 11 million visitors. While many of the buildings constructed for the event were eventually demolished, part of the site ultimately became a public park.",,,May 1982 - October 1982,,,"May 1, 1982/Oct 31, 1982",,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85046347 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640 | http://id.loc.gov/authorities/names/n82114257,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:561,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000661 | 0462 | tenncities:561 | record_spc_4317,,,,,,Crowds at the World's Fair,,"View of a crowd of people at the World's Fair. The Knoxville International Energy Exposition (better known as the World's Fair) was held in Knoxville from May to October 1982 on a 67-acre area just west of the city's center. 19 nations in addition to the United States participated in the exposition which drew over 11 million visitors. While many of the buildings constructed for the event were eventually demolished, part of the site ultimately became a public park.",,,May 1982 - October 1982,,,"May 1, 1982/Oct 31, 1982",,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85046354 | http://id.loc.gov/authorities/subjects/sh00007640 | http://id.loc.gov/authorities/names/n82114257,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:130,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000230 | 0031 | tenncities:130 | record_spc_3886,,,,,,Beverly Hills Sanatorium,,View of Beverly Hills Sanatorium on Tazewell Pike.,,,1856-1996,,,1856/1996,,,,,,,Dates inferred from dates of archival collection.,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh2006007120 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:514,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000614 | 0415 | tenncities:514 | record_spc_4270,,,,,,Gay Street,,View on Gay Street in downtown Knoxville. Visible businesses include Perrow's Saloon and Miller & Kephart Real Estate.,,,1905,1991,,1905,,,,"Frank H. McClung Museum, University of Tennessee",http://id.loc.gov/authorities/names/n79109786,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85128662 | http://id.loc.gov/authorities/subjects/sh85020461 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:349,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000449 | 0250 | tenncities:349 | record_spc_4105,,,,,,Appalachian Exposition Administration Building,,"View of the Administration Building at the Appalachian Exposition. The 1910 Appalachian Exposition was held from September 12 to October 12 in Knoxville's Chilhowee Park. The first of its kind in Appalachia, the fair was intended to demonstrate Southern progress in industry and commerce and to advocate the preservation of the area's natural resources.",,,1910,,,1910,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85046347 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640,Chapman Drug Co.,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:144,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000244 | 0045 | tenncities:144 | record_spc_3900,,,,,,William Blount Mansion,,"Home of William Blount, signer of the U.S. Constitution and the Governor of the Territory of the United States South of the Ohio River, and his wife Mary, built in 1792. In addition to its impressive size, the home boasted a number of features not commonly seen on the frontier, including hardwood floors and glass windows. A group of women led by Mary Boyce Temple campaigned to preserve the home in the early 1920s, and Blount Mansion became a museum in 1925. It was declared a National Historic Landmark in 1965.",,,1926-1965,,,1926/1965,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh86003042 | http://id.loc.gov/authorities/subjects/sh85040261 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640 | http://id.loc.gov/authorities/names/n84136128,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:582,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000682 | 0483 | tenncities:582 | record_spc_4338,,,,,,United States Pavilion,,"View of the exterior of the United States Pavilion at the World's Fair. The Knoxville International Energy Exposition (better known as the World's Fair) was held in Knoxville from May to October 1982 on a 67-acre area just west of the city's center. 19 nations in addition to the United States participated in the exposition which drew over 11 million visitors. While many of the buildings constructed for the event were eventually demolished, part of the site ultimately became a public park.",,,May 1982 - October 1982,,,"May 1, 1982/Oct 31, 1982",,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85046347 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640 | http://id.loc.gov/authorities/names/n82114257,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:537,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000637 | 0438 | tenncities:537 | record_spc_4293,,,,,,View of Downtown Knoxville,,"View looking down Cumberland Avenue taken from the University of Tennessee's ""Hill."" Visible structures include a number of businesses that were removed in order to make way for the 1982 World's Fair.",,,1958,,,1958,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/vocabulary/graphicMaterials/tgm002111 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:302,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000402 | 0203 | tenncities:302 | record_spc_4058,,,,,,Chilhowee Park,,"Swimmers in Chilhowee Park's lake. Visible are the extreme left side of the Liberal Arts Building (constructed for the National Conservation Exposition of 1913) and the lake's distinctive walkway. Originally known as Lake Ottossee, Chilhowee Park began to develop as a recreational area in 1890 when William G. McAdoo opened a streetcar line making the lake easily accessible from Knoxville. The area was renamed Chilhowee Park in 1900 and was the site of several expositions between 1910 and 1913.",,,1913,,,1913,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knox County (Tenn.),http://id.loc.gov/authorities/names/n81102870,"35.99322, -83.93709",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh98001733 | http://id.loc.gov/authorities/subjects/sh85131207,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:398,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000498 | 0299 | tenncities:398 | record_spc_4154,,,,,,View of Downtown Knoxville,,"View of downtown Knoxville showing World's Fair Park (including the Sunsphere and State of Tennessee Amphitheater), the Hilton and Marriott Hotels, Riverside Towers, and a number of other prominent buildings.",,Gary Heatherly Images,1985,,,1985,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh2009118693 | http://id.loc.gov/vocabulary/graphicMaterials/tgm002111 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640,Impact FL Inc.,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:133,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000233 | 0034 | tenncities:133 | record_spc_3889,,,,,,House near the corner of Henley Street and Clinch Avenue,,Structure located near the corner of Henley Street and Clinch Avenue in Knoxville.,,,1939,1939,,1939,,,,University of Tennessee,http://id.loc.gov/authorities/names/n79109786,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85062603 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:405,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000505 | 0306 | tenncities:405 | record_spc_4161,,,,,,Entrance to Chilhowee Park,,"Originally known as Lake Ottossee, Chilhowee Park began to develop as a recreational area in 1890 when William G. McAdoo opened a streetcar line making the lake easily accessible from Knoxville. The area was renamed Chilhowee Park in 1900 and was the site of several expositions between 1910 and 1913.",,,"Feb 20, 1910",,,"Feb 20, 1910",,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh98001733 | http://id.loc.gov/authorities/subjects/sh95005321 | http://id.loc.gov/authorities/subjects/sh00007640,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:470,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000570 | 0371 | tenncities:470 | record_spc_4226,,,,,,Civic Building and Southern Railway Station,,"Front of a souvenir postcard folder showing Knoxville's Civic Building and Southern Railway Station. The Southern Railway Station was built in Knoxville in 1903-1904. It prospered until passenger traffic began to decline in the 1960s. The last passenger train to pass through the station was the ""Birmingham Special,"" which departed on August 12, 1970. The station was renovated in the early 1990s for use by Knoxville architectural firm Bullock, Smith, and Partners, Inc.",,,1924-1930,,,1924/1930,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85111042 | http://id.loc.gov/authorities/subjects/sh85088443 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640,Knoxville Engraving Co.,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:159,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000259 | 0060 | tenncities:159 | record_spc_3915,,,,,,Buck Karns Bridge,,"View of Buck Karns Bridge, named for Knoxville resident James (Buck) Karns who was one of six Tennesseeans to earn the Congressional Medal of Honor during World War I. The bridge crosses the Tennessee River and is also known as the Alcoa Highway Bridge.",,"University of Tennessee, Knoxville. Photographic Center","Jun 28, 1963",,,"Jun 28, 1963",,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,,http://id.loc.gov/authorities/subjects/sh85133887 | http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh2007009366 | http://id.loc.gov/authorities/subjects/sh00007640,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:462,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000562 | 0363 | tenncities:462 | record_spc_4218,,,,,,Aerial view of Knoxville,,"Aerial view of Knoxville looking south. Visible structures include the steeple of First Baptist Church, Staub's Theater, the Court House, and the Banking and Trust Building.",,,1913,,,1913,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85101264 | http://id.loc.gov/vocabulary/graphicMaterials/tgm002111 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640,Reese & Read,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:413,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000513 | 0314 | tenncities:413 | record_spc_4169,,,,,,Lawson McGhee Library,,"In 1885, Charles McClung McGhee established Lawson McGhee Library as a memorial to his daughter, May Lawson McGhee Williams. The original building on the corner of Gay Street and Vine Avenue was replaced by this white marble structure on the corner of Market Street and Commerce Avenue in 1917. It remained in use until 1971, when a new building was constructed.",,,1917-1971,,,1917/1971,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85076666 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640 | http://id.loc.gov/authorities/names/no2002081505,McClung Family,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:556,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000656 | 0457 | tenncities:556 | record_spc_4312,,,,,,Gay Street (500 Block),,"View on Gay Street in downtown Knoxville. Visible businesses include Doll & Co. Stationers, Woolworth's, Miller's Department Store, Woodruff's Hardware, and East Tennessee Savings Bank. Also visible are electric streetcar tracks.",,,1909-1920,,,1909/1920,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85128662 | http://id.loc.gov/authorities/subjects/sh2009118693 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:146,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000246 | 0047 | tenncities:146 | record_spc_3902,,,,,,Lawson McGhee Library,,"In 1885, Charles McClung McGhee established Lawson McGhee Library as a memorial to his daughter, May Lawson McGhee Williams. The original building on the corner of Gay Street and Vine Avenue was replaced by this white marble structure on the corner of Market Street and Commerce Avenue in 1917. It remained in use until 1971, when a new building was constructed.",,,1917-1971,1991,,1917/1971,,,,East Tennessee Historical Society,,"500 W Church Ave, Knoxville, TN 37902",,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85076666 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640,McClung Family,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:162,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000262 | 0063 | tenncities:162 | record_spc_3918,,,,,,Tate Springs Hotel,,"Captain Thomas Tomlinson built Tate Springs Hotel in the late 1800s near one of the mineral springs flowing from Clinch Mountain in Grainger County. The resort, which featured cottages, stables, a golf course, and a park, was extremely prosperous until the Great Depression. The original structure was torn down in 1936 and the property was sold to Kingswood School in 1941. The only remnant of the hotel is a gazebo standing near the mineral spring.",,,1900-1936,,,1900/1936,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Grainger County (Tenn.),http://id.loc.gov/authorities/names/n81139866,"36.27625, -83.50962",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85062487 | http://id.loc.gov/authorities/subjects/sh85101268,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
